Date,Player_Name,Target,Line,Odds_Over,Odds_Under,Pred_Mean,Pick,Pick_EV,Pick_Odds,FairOdds_Over,FairOdds_Under
2025-12-29,Brandon Ingram,AST,3.5,1.69,2.08,9.3,SKIP,0.0,0.0,1.81,2.23
2025-12-29,Immanuel Quickley,AST,5.5,1.65,2.16,25.3,OVER,0.304,1.65,1.76,2.31
2025-12-29,Paolo Banchero,AST,4.5,1.62,2.22,11.7,SKIP,0.0,0.0,1.73,2.37
2025-12-29,Anthony Black,AST,4.5,2.14,1.66,7.0,OVER,0.181,2.14,2.29,1.78
2025-12-29,Immanuel Quickley,REB,3.5,1.76,2.0,-10.0,UNDER,0.524,2.0,1.88,2.14
2025-12-29,Ochai Agbaji,REB,3.5,2.28,1.58,-9.3,UNDER,0.144,1.58,2.44,1.69
2025-12-29,Paolo Banchero,REB,7.5,1.82,1.93,21.9,OVER,0.281,1.82,1.94,2.06
2025-12-29,Scottie Barnes,REB,9.5,1.8,1.94,36.6,OVER,0.463,1.8,1.93,2.08
2025-12-29,Desmond Bane,REB,4.5,2.14,1.66,-6.3,UNDER,0.171,1.66,2.29,1.78
2025-12-29,Sandro Mamukelashvili,REB,6.5,1.68,2.1,-7.2,UNDER,0.562,2.1,1.8,2.25
2025-12-29,Tristan da Silva,REB,3.5,1.91,1.83,-2.0,UNDER,0.095,1.83,2.04,1.96
2025-12-29,Brandon Ingram,REB,5.5,1.85,1.89,-1.7,UNDER,0.195,1.89,1.98,2.02
2025-12-29,Anthony Black,REB,4.5,1.88,1.88,-6.0,UNDER,0.314,1.88,2.0,2.0
2025-12-29,Brandon Ingram,PTS+REB+AST,33.5,1.83,1.91,81.1,OVER,0.363,1.83,1.96,2.04
2025-12-29,Anthony Black,PTS+REB+AST,27.5,1.82,1.93,27.4,SKIP,0.0,0.0,1.94,2.06
2025-12-29,Desmond Bane,PTS+REB+AST,30.5,1.93,1.82,52.6,OVER,0.208,1.93,2.06,1.94
2025-12-29,Immanuel Quickley,PTS+REB+AST,26.5,1.94,1.8,46.9,OVER,0.198,1.94,2.08,1.93
2025-12-29,Scottie Barnes,PTS+REB+AST,32.5,1.8,1.94,95.6,OVER,0.47,1.8,1.93,2.08
2025-12-29,Paolo Banchero,PTS+REB+AST,35.5,1.82,1.93,87.7,OVER,0.402,1.82,1.94,2.06
2025-12-29,Sandro Mamukelashvili,PTS+REB,19.5,1.89,1.85,-44.0,UNDER,0.647,1.85,2.02,1.98
2025-12-29,Tristan da Silva,PTS+REB,12.5,1.88,1.88,-16.5,UNDER,0.307,1.88,2.0,2.0
2025-12-29,Desmond Bane,PTS+REB,25.5,1.8,1.94,42.6,OVER,0.084,1.8,1.93,2.08
2025-12-29,Ochai Agbaji,PTS+REB,9.5,1.74,2.02,-68.3,UNDER,0.917,2.02,1.86,2.16
2025-12-29,Anthony Black,PTS+REB,23.5,1.89,1.85,20.4,SKIP,0.0,0.0,2.02,1.98
2025-12-29,Brandon Ingram,PTS+REB,29.5,1.82,1.93,71.9,OVER,0.326,1.82,1.94,2.06
2025-12-29,Immanuel Quickley,PTS+REB,19.5,1.77,1.98,21.6,SKIP,0.0,0.0,1.89,2.12
2025-12-29,Scottie Barnes,PTS+REB,27.5,1.8,1.94,79.1,OVER,0.405,1.8,1.93,2.08
2025-12-29,Paolo Banchero,PTS+REB,30.5,1.85,1.89,75.9,OVER,0.386,1.85,1.98,2.02
2025-12-29,Jamal Shead,PTS+AST,10.5,1.78,1.96,-26.9,UNDER,0.492,1.96,1.91,2.1
2025-12-29,Desmond Bane,PTS+AST,25.5,1.8,1.94,58.9,OVER,0.249,1.8,1.93,2.08
2025-12-29,Anthony Black,PTS+AST,23.5,1.98,1.77,33.4,OVER,0.115,1.98,2.12,1.89
2025-12-29,Brandon Ingram,PTS+AST,27.5,1.77,1.98,82.8,OVER,0.396,1.77,1.89,2.12
2025-12-29,Tyus Jones,PTS+AST,8.5,1.78,1.96,-49.9,UNDER,0.722,1.96,1.91,2.1
2025-12-29,Paolo Banchero,PTS+AST,27.5,1.78,1.96,65.8,OVER,0.284,1.78,1.91,2.1
2025-12-29,Scottie Barnes,PTS+AST,23.5,1.94,1.8,59.0,OVER,0.384,1.94,2.08,1.93
2025-12-29,Immanuel Quickley,PTS+AST,22.5,1.93,1.82,56.9,OVER,0.352,1.93,2.06,1.94
2025-12-29,Immanuel Quickley,REB+AST,9.5,1.77,1.98,15.3,SKIP,0.0,0.0,1.89,2.12
2025-12-29,Paolo Banchero,REB+AST,12.5,1.77,1.98,33.6,OVER,0.303,1.77,1.89,2.12
2025-12-29,Desmond Bane,REB+AST,8.5,1.78,1.96,3.6,UNDER,0.116,1.96,1.91,2.1
2025-12-29,Anthony Black,REB+AST,8.5,1.71,2.06,1.0,UNDER,0.249,2.06,1.83,2.2
